data_dt,listing_id,user_id,days_available,days_booked,occupancy_rate,room_type,neighborhood,listing_created_date,host_since,host_is_superhost
2024-02-01,L1000,U207,24,16,0.67,Private room,Suburb,2023-08-30,2020-05-16,False
2024-02-01,L1001,U206,30,11,0.37,Private room,Downtown,2023-07-01,2018-05-08,True
2024-02-01,L1002,U207,20,4,0.2,Private room,Downtown,2024-12-08,2020-05-16,False
2024-02-01,L1003,U207,29,26,0.9,Shared room,Suburb,2023-02-12,2020-05-16,False
2024-02-01,L1004,U201,29,24,0.83,Private room,Beachfront,2024-12-24,2024-01-16,False
2024-02-01,L1005,U203,20,17,0.85,Private room,Old Town,2022-10-23,2023-12-28,False
2024-02-01,L1006,U203,28,7,0.25,Shared room,Beachfront,2023-04-06,2023-12-28,False
2024-02-01,L1007,U200,21,9,0.43,Private room,Downtown,2023-11-08,2024-01-30,False
2024-02-01,L1008,U201,20,20,1.0,Private room,Suburb,2023-09-02,2024-01-16,False
2024-02-01,L1009,U200,26,19,0.73,Entire home/apt,Suburb,2024-09-02,2024-01-30,False
2024-02-01,L1010,U202,23,14,0.61,Shared room,Old Town,2023-07-24,2024-01-21,False
2024-02-01,L1011,U205,22,12,0.55,Shared room,Old Town,2024-01-20,2024-04-17,False
2024-02-01,L1012,U209,23,13,0.57,Shared room,Suburb,2025-02-16,2018-01-04,False
2024-02-01,L1013,U205,20,14,0.7,Private room,Beachfront,2023-07-18,2024-04-17,False
2024-02-01,L1014,U203,29,18,0.62,Private room,Suburb,2025-01-28,2023-12-28,False
2024-02-01,L1015,U203,25,11,0.44,Shared room,Suburb,2023-01-21,2023-12-28,False
2024-02-01,L1016,U205,21,8,0.38,Shared room,Old Town,2023-05-19,2024-04-17,False
2024-02-01,L1017,U209,26,10,0.38,Private room,Beachfront,2024-04-20,2018-01-04,False
2024-02-01,L1018,U205,24,19,0.79,Private room,Beachfront,2024-12-12,2024-04-17,False
2024-02-01,L1019,U200,21,18,0.86,Entire home/apt,Old Town,2023-08-15,2024-01-30,False
2024-03-01,L1000,U200,25,25,1.0,Private room,Suburb,2023-08-30,2024-01-30,False
2024-03-01,L1001,U208,24,3,0.12,Private room,Downtown,2023-07-01,2020-02-17,False
2024-03-01,L1002,U208,22,11,0.5,Private room,Downtown,2024-12-08,2020-02-17,False
2024-03-01,L1003,U209,25,0,0.0,Shared room,Suburb,2023-02-12,2018-01-04,False
2024-03-01,L1004,U204,22,8,0.36,Private room,Beachfront,2024-12-24,2019-10-15,True
2024-03-01,L1005,U203,22,9,0.41,Private room,Old Town,2022-10-23,2023-12-28,False
2024-03-01,L1006,U208,25,21,0.84,Shared room,Beachfront,2023-04-06,2020-02-17,False
2024-03-01,L1007,U203,30,25,0.83,Private room,Downtown,2023-11-08,2023-12-28,False
2024-03-01,L1008,U204,26,14,0.54,Private room,Suburb,2023-09-02,2019-10-15,True
2024-03-01,L1009,U206,28,15,0.54,Entire home/apt,Suburb,2024-09-02,2018-05-08,True
2024-03-01,L1010,U208,20,11,0.55,Shared room,Old Town,2023-07-24,2020-02-17,False
2024-03-01,L1011,U207,28,25,0.89,Shared room,Old Town,2024-01-20,2020-05-16,False
2024-03-01,L1012,U203,20,1,0.05,Shared room,Suburb,2025-02-16,2023-12-28,False
2024-03-01,L1013,U202,29,0,0.0,Private room,Beachfront,2023-07-18,2024-01-21,False
2024-03-01,L1014,U202,27,3,0.11,Private room,Suburb,2025-01-28,2024-01-21,False
2024-03-01,L1015,U204,24,24,1.0,Shared room,Suburb,2023-01-21,2019-10-15,True
2024-03-01,L1016,U207,24,17,0.71,Shared room,Old Town,2023-05-19,2020-05-16,False
2024-03-01,L1017,U200,23,12,0.52,Private room,Beachfront,2024-04-20,2024-01-30,False
2024-03-01,L1018,U204,26,10,0.38,Private room,Beachfront,2024-12-12,2019-10-15,True
2024-03-01,L1019,U200,30,8,0.27,Entire home/apt,Old Town,2023-08-15,2024-01-30,False
2024-04-01,L1000,U203,28,0,0.0,Private room,Suburb,2023-08-30,2023-12-28,False
2024-04-01,L1001,U208,24,8,0.33,Private room,Downtown,2023-07-01,2020-02-17,False
2024-04-01,L1002,U204,30,5,0.17,Private room,Downtown,2024-12-08,2019-10-15,True
2024-04-01,L1003,U208,30,6,0.2,Shared room,Suburb,2023-02-12,2020-02-17,False
2024-04-01,L1004,U206,26,7,0.27,Private room,Beachfront,2024-12-24,2018-05-08,True
2024-04-01,L1005,U209,21,5,0.24,Private room,Old Town,2022-10-23,2018-01-04,False
2024-04-01,L1006,U209,22,19,0.86,Shared room,Beachfront,2023-04-06,2018-01-04,False
2024-04-01,L1007,U202,20,14,0.7,Private room,Downtown,2023-11-08,2024-01-21,False
2024-04-01,L1008,U209,27,1,0.04,Private room,Suburb,2023-09-02,2018-01-04,False
2024-04-01,L1009,U205,27,26,0.96,Entire home/apt,Suburb,2024-09-02,2024-04-17,False
2024-04-01,L1010,U202,22,22,1.0,Shared room,Old Town,2023-07-24,2024-01-21,False
2024-04-01,L1011,U201,26,0,0.0,Shared room,Old Town,2024-01-20,2024-01-16,False
2024-04-01,L1012,U207,30,9,0.3,Shared room,Suburb,2025-02-16,2020-05-16,False
2024-04-01,L1013,U204,29,21,0.72,Private room,Beachfront,2023-07-18,2019-10-15,True
2024-04-01,L1014,U207,29,16,0.55,Private room,Suburb,2025-01-28,2020-05-16,False
2024-04-01,L1015,U207,23,1,0.04,Shared room,Suburb,2023-01-21,2020-05-16,False
2024-04-01,L1016,U203,28,12,0.43,Shared room,Old Town,2023-05-19,2023-12-28,False
2024-04-01,L1017,U206,23,8,0.35,Private room,Beachfront,2024-04-20,2018-05-08,True
2024-04-01,L1018,U201,21,18,0.86,Private room,Beachfront,2024-12-12,2024-01-16,False
2024-04-01,L1019,U204,30,16,0.53,Entire home/apt,Old Town,2023-08-15,2019-10-15,True
2024-05-01,L1000,U206,28,12,0.43,Private room,Suburb,2023-08-30,2018-05-08,True
2024-05-01,L1001,U203,21,21,1.0,Private room,Downtown,2023-07-01,2023-12-28,False
2024-05-01,L1002,U202,23,22,0.96,Private room,Downtown,2024-12-08,2024-01-21,False
2024-05-01,L1003,U204,28,19,0.68,Shared room,Suburb,2023-02-12,2019-10-15,True
2024-05-01,L1004,U202,21,16,0.76,Private room,Beachfront,2024-12-24,2024-01-21,False
2024-05-01,L1005,U200,26,23,0.88,Private room,Old Town,2022-10-23,2024-01-30,False
2024-05-01,L1006,U207,21,12,0.57,Shared room,Beachfront,2023-04-06,2020-05-16,False
2024-05-01,L1007,U207,27,26,0.96,Private room,Downtown,2023-11-08,2020-05-16,False
2024-05-01,L1008,U207,26,0,0.0,Private room,Suburb,2023-09-02,2020-05-16,False
2024-05-01,L1009,U203,28,18,0.64,Entire home/apt,Suburb,2024-09-02,2023-12-28,False
2024-05-01,L1010,U206,20,17,0.85,Shared room,Old Town,2023-07-24,2018-05-08,True
2024-05-01,L1011,U206,28,3,0.11,Shared room,Old Town,2024-01-20,2018-05-08,True
2024-05-01,L1012,U208,30,19,0.63,Shared room,Suburb,2025-02-16,2020-02-17,False
2024-05-01,L1013,U208,20,10,0.5,Private room,Beachfront,2023-07-18,2020-02-17,False
2024-05-01,L1014,U208,21,11,0.52,Private room,Suburb,2025-01-28,2020-02-17,False
2024-05-01,L1015,U201,27,22,0.81,Shared room,Suburb,2023-01-21,2024-01-16,False
2024-05-01,L1016,U205,22,6,0.27,Shared room,Old Town,2023-05-19,2024-04-17,False
2024-05-01,L1017,U204,28,16,0.57,Private room,Beachfront,2024-04-20,2019-10-15,True
2024-05-01,L1018,U209,23,6,0.26,Private room,Beachfront,2024-12-12,2018-01-04,False
2024-05-01,L1019,U209,24,19,0.79,Entire home/apt,Old Town,2023-08-15,2018-01-04,False
2024-06-01,L1000,U202,29,25,0.86,Private room,Suburb,2023-08-30,2024-01-21,False
2024-06-01,L1001,U201,26,15,0.58,Private room,Downtown,2023-07-01,2024-01-16,False
2024-06-01,L1002,U205,22,3,0.14,Private room,Downtown,2024-12-08,2024-04-17,False
2024-06-01,L1003,U204,29,25,0.86,Shared room,Suburb,2023-02-12,2019-10-15,True
2024-06-01,L1004,U208,29,5,0.17,Private room,Beachfront,2024-12-24,2020-02-17,False
2024-06-01,L1005,U205,30,15,0.5,Private room,Old Town,2022-10-23,2024-04-17,False
2024-06-01,L1006,U201,28,0,0.0,Shared room,Beachfront,2023-04-06,2024-01-16,False
2024-06-01,L1007,U202,29,13,0.45,Private room,Downtown,2023-11-08,2024-01-21,False
2024-06-01,L1008,U200,22,7,0.32,Private room,Suburb,2023-09-02,2024-01-30,False
2024-06-01,L1009,U204,21,4,0.19,Entire home/apt,Suburb,2024-09-02,2019-10-15,True
2024-06-01,L1010,U206,27,19,0.7,Shared room,Old Town,2023-07-24,2018-05-08,True
2024-06-01,L1011,U203,30,29,0.97,Shared room,Old Town,2024-01-20,2023-12-28,False
2024-06-01,L1012,U207,21,14,0.67,Shared room,Suburb,2025-02-16,2020-05-16,False
2024-06-01,L1013,U205,24,20,0.83,Private room,Beachfront,2023-07-18,2024-04-17,False
2024-06-01,L1014,U207,25,19,0.76,Private room,Suburb,2025-01-28,2020-05-16,False
2024-06-01,L1015,U206,26,18,0.69,Shared room,Suburb,2023-01-21,2018-05-08,True
2024-06-01,L1016,U205,20,20,1.0,Shared room,Old Town,2023-05-19,2024-04-17,False
2024-06-01,L1017,U209,25,23,0.92,Private room,Beachfront,2024-04-20,2018-01-04,False
2024-06-01,L1018,U207,28,6,0.21,Private room,Beachfront,2024-12-12,2020-05-16,False
2024-06-01,L1019,U209,28,19,0.68,Entire home/apt,Old Town,2023-08-15,2018-01-04,False
2024-07-01,L1000,U203,28,7,0.25,Private room,Suburb,2023-08-30,2023-12-28,False
2024-07-01,L1001,U203,29,17,0.59,Private room,Downtown,2023-07-01,2023-12-28,False
2024-07-01,L1002,U201,23,12,0.52,Private room,Downtown,2024-12-08,2024-01-16,False
2024-07-01,L1003,U208,23,17,0.74,Shared room,Suburb,2023-02-12,2020-02-17,False
2024-07-01,L1004,U208,27,0,0.0,Private room,Beachfront,2024-12-24,2020-02-17,False
2024-07-01,L1005,U209,22,12,0.55,Private room,Old Town,2022-10-23,2018-01-04,False
2024-07-01,L1006,U203,23,20,0.87,Shared room,Beachfront,2023-04-06,2023-12-28,False
2024-07-01,L1007,U200,30,13,0.43,Private room,Downtown,2023-11-08,2024-01-30,False
2024-07-01,L1008,U202,26,18,0.69,Private room,Suburb,2023-09-02,2024-01-21,False
2024-07-01,L1009,U209,22,2,0.09,Entire home/apt,Suburb,2024-09-02,2018-01-04,False
2024-07-01,L1010,U202,26,20,0.77,Shared room,Old Town,2023-07-24,2024-01-21,False
2024-07-01,L1011,U201,27,20,0.74,Shared room,Old Town,2024-01-20,2024-01-16,False
2024-07-01,L1012,U200,26,1,0.04,Shared room,Suburb,2025-02-16,2024-01-30,False
2024-07-01,L1013,U202,26,11,0.42,Private room,Beachfront,2023-07-18,2024-01-21,False
2024-07-01,L1014,U206,20,5,0.25,Private room,Suburb,2025-01-28,2018-05-08,True
2024-07-01,L1015,U206,29,12,0.41,Shared room,Suburb,2023-01-21,2018-05-08,True
2024-07-01,L1016,U203,25,23,0.92,Shared room,Old Town,2023-05-19,2023-12-28,False
2024-07-01,L1017,U203,26,10,0.38,Private room,Beachfront,2024-04-20,2023-12-28,False
2024-07-01,L1018,U201,25,10,0.4,Private room,Beachfront,2024-12-12,2024-01-16,False
2024-07-01,L1019,U201,25,5,0.2,Entire home/apt,Old Town,2023-08-15,2024-01-16,False
2024-08-01,L1000,U204,21,4,0.19,Private room,Suburb,2023-08-30,2019-10-15,True
